#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
140,Laviska Shenault Jr.,WR,CAR,12.2,8.7,5.9,11.6,11.4,2.6,5.9,-,0.4,-,-,5.2,14.3,8.1,6.9,13.3,21.6,9.2,128.1,141
141,Dustin Hopkins,K,LAC,10,3,2,6,5,7,5,-,10,10,10,11,14,13,4,8,10,8,128,142
142,Keelan Cole Sr.,WR,LV,13.2,14.8,6.3,6.6,9.7,17.3,1.7,-,1.1,19.2,3.6,5.9,1.2,16.2,3.2,4.1,3.8,8,127.9,143
143,DJ Chark Jr.,WR,CAR,10,10.4,-,25.5,3.1,8,3.1,-,24.1,7.6,6.1,-,5.1,2.6,7.3,14.2,-,9.8,127.1,144
144,Washington Commanders,DST,WAS,15,4,1,4,2,4,17,BYE,5,0,12,15,3,23,3,9,10,7.9,127,145
145,Rob Gronkowski,TE,FA,2.1,0,7.8,3.4,6.7,16.3,14.7,12.1,0.7,12.1,3.5,13.6,-,6.7,4.4,18.8,3.9,7.9,126.8,146
146,Wayne Gallman Jr.,RB,FA,1.9,-,2.4,4.5,3.4,0,13.9,12.7,14.2,18.5,-,16.6,13.5,8.8,2.9,6.3,6.5,8.4,126.1,147
147,New Orleans Saints,DST,NO,17,4,-3,4,3,BYE,1,7,16,14,16,14,6,2,7,1,17,7.9,126,148
148,Latavius Murray,RB,BUF,4.8,4.3,7,20.8,6.7,-,6.1,4.6,5.2,5.7,9.5,25.1,2.7,1.2,9.9,11.1,-,8.3,124.7,149
149,Devin Singletary,RB,HOU,7.8,8.6,14.1,16.2,3.8,5,5.7,9.7,4.9,1.5,-,9.7,9.8,3.9,15.9,6.2,1.8,7.8,124.6,150
150,Gus Edwards,RB,BAL,1.7,7.3,3.9,3.8,2.5,8.6,BYE,14.7,8.4,7.8,0.6,7,10.1,17.8,8.8,13.2,7.5,7.7,123.7,151
151,Nick Folk,K,NE,3,6,12,5,BYE,7,8,8,15,5,9,10,9,3,15,4,4,7.7,123,152
152,Christian Kirk,WR,JAC,0.5,7,-,9.4,10.3,21.6,18.2,BYE,20.8,4.7,7,3.4,0.7,2.9,4.8,11.1,-,8.7,122.4,153
153,Darrell Henderson Jr.,RB,FA,0.6,19.1,18.5,4.2,20.3,9.2,8.6,6.3,-,9.8,1.9,1.9,14.4,0.5,0.8,6.2,-,8.2,122.3,154
154,Darnell Mooney,WR,CHI,5.3,11.1,2.9,7.4,2.5,5.1,5.5,15.4,6.8,1.3,BYE,6.9,6.3,9.7,14.5,6.1,14.8,7.6,121.6,155
155,Hayden Hurst,TE,CAR,5.3,15.7,6.6,7.1,1.8,13.7,9.8,7.9,9.7,-,0,6.8,1.4,1.2,10.1,13.2,10.8,7.6,121.1,156
156,Marquez Valdes-Scantling,WR,KC,17.6,7.9,1,6.5,-,4.7,0.9,2.8,18.3,22.9,5,0,-0.4,17.5,0,0,16.1,7.6,120.8,157
157,Julio Jones,WR,FA,20.2,3.4,-,5.2,-,29.7,13.7,17.2,13.9,-,4.9,-,12.4,-,-,-,-,13.4,120.6,158
158,Mason Crosby,K,FA,12,11,16,7,-,4,5,2,12,6,7,5,7,9,8,4,5,7.5,120,158
158,Michael Badgley,K,DET,11,9,5,9,3,-,9,15,9,3,11,3,0,9,6,14,4,7.5,120,160
160,Jonnu Smith,TE,ATL,11.6,22.4,8.6,-,18.5,1.8,1.4,3.9,10.2,8.5,10,0,-,3.3,7.7,10.5,1.3,8,119.7,161
161,Gabe Davis,WR,BUF,2.6,7.1,10.1,9.1,8.3,1.2,1.6,0,15,0,BYE,15.4,14.3,9.4,2.8,4.8,17.7,7.5,119.4,162
162,Tampa Bay Buccaneers,DST,TB,0,14,18,6,6,19,6,7,1,5,4,4,BYE,9,3,12,5,7.4,119,162
162,Stephen Gostkowski,K,FA,4,12,25,-,6,4,8,2,7,7,12,10,3,9,8,2,-,7.9,119,164
164,Jimmy Graham,TE,FA,10,2.3,21,5.3,10.8,5.9,5.6,2.3,14.5,0,-,4.7,0,10.3,3.5,20.9,1.5,7.4,118.6,165
165,Adrian Peterson,RB,FA,12.9,4.1,9,9.6,-,12.3,3.5,1.7,5.8,3.5,1.8,17.5,17.7,3.5,2.3,1,12.3,7.4,118.5,166
